threshold,net_benefit
0.01,0.6715584682312963
0.02,0.670262929571089
0.03,0.6689406787735579
0.04,0.6675908810844116
0.05,0.6662126666018094
0.060000000000000005,0.6648051284068116
0.06999999999999999,0.6633673205732117
0.08,0.6618982560475769
0.09,0.6603969043895106
0.09999999999999999,0.6588621893612651
0.11,0.6572929863548568
0.12,0.6556881196437573
0.13,0.6540463594450464
0.14,0.652366418776598
0.15000000000000002,0.6506469500924214
0.16,0.6488865416776692
0.17,0.6471282542369108
0.18000000000000002,0.6454172489968892
0.19,0.6436639967139044
0.2,0.6418669131238448
0.21000000000000002,0.6400243337466951
0.22,0.6385610692449879
0.23,0.6370838034423986
0.24000000000000002,0.6355676622239517
0.25,0.6340110905730129
0.26,0.6325123644901834
0.27,0.6309725774187831
0.28,0.6293900184842884
0.29000000000000004,0.62784098305173
0.3,0.6263533139688408
0.31,0.6248225240429692
0.32,0.6232467108839839
0.33,0.6216238585262228
0.34,0.6199518288242872
0.35000000000000003,0.6182283520545997
0.36000000000000004,0.6164510166358595
0.37,0.6146172578704926
0.38,0.6127243455965655
0.39,0.6107693706251326
0.4,0.6087492298213185
0.41000000000000003,0.6069739026911871
0.42000000000000004,0.6051373573841545
0.43,0.6032363718909103
0.44,0.6012674940586216
0.45,0.5992270206687952
0.46,0.5971109741904567
0.47000000000000003,0.5949150769016147
0.48000000000000004,0.5926347220247405
0.49,0.5902649414664203
0.5,0.5878003696857671
0.51,0.5859896638877362
0.52,0.5841035120147874
0.53,0.582137098360011
0.54,0.5800851884593747
0.55,0.5779420825631546
0.56,0.5757015627625609
0.5700000000000001,0.5733568327386838
0.5800000000000001,0.5709004489041457
0.59,0.568324241467923
0.6,0.5656192236598891
0.61,0.5627754869899048
0.62,0.5597820799688685
0.63,0.5570265274516661
0.64,0.5545286506469501
0.65,0.5518880380248218
0.66,0.5490920952484506
0.67,0.5462947403797681
0.68,0.5436691312384473
0.6900000000000001,0.5408741279589767
0.7000000000000001,0.5378927911275415
0.7100000000000001,0.5347058448594556
0.72,0.5312912595722208
0.73,0.5276237420414869
0.74,0.5236741077776198
0.75,0.5194085027726432
0.76,0.5147874306839186
0.77,0.5097645262396527
0.78,0.5042849941186355
0.79,0.49828360179561654
0.8,0.4916820702402957
0.81,0.48438564062652
0.8200000000000001,0.47648387759293487
0.8300000000000001,0.4696096553223877
0.8400000000000001,0.4653419593345655
0.85,0.4614910659272951
0.86,0.45709004489041455
0.87,0.4520119436940139
0.88,0.4467036352433765
0.89,0.44127037472693664
0.9,0.4362292051756007
0.91,0.4300677757239679
0.92,0.4232902033271719
0.93,0.41668867177185104
0.9400000000000001,0.40911891558841645
0.9500000000000001,0.40295748613678367
0.9600000000000001,0.3955637707948244
0.97,0.3955637707948244
0.98,0.3955637707948244
0.99,0.3955637707948244
